CODIGO BIP,NOMBRE INICIATIVA,REGION,COMUNA,ETAPA POSTULA,COSTO TOTAL M$,AÑO POSTULACION,RATE,FECHA RATE,SECTOR,MAGNITUD,MAGNITUD VALOR,FUENTE FINANCIERA
30435474-0,"CONSTRUCCION APR COIHUECO,PELEHUE,PUNTA RIEL,PONHUITO, T.SCHMIDT",REGION DE LA ARAUCANIA,TEODORO SCHMIDT,EJECUCION,4.887.675,2027,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,289,FNDR
40081051-0,"ADQUISICION VEHÍCULO DE EMERGENCIA PARA GESTION DEL RIESGO DE DESASTRE, COMUNA DE VILLARRICA",REGION DE LA ARAUCANIA,VILLARRICA,EJECUCION,114.958,2026,,,SEGURIDAD PUBLICA,UNIDAD,1,FNDR
40075454-0,REPOSICION Y ADQUISICION DE  MAQUINARIA PARA  CONSERVACION VIAL  DE LA COMUNA LAUTARO,REGION DE LA ARAUCANIA,LAUTARO,EJECUCION,1.514.960,2026,,,TRANSPORTE,UNIDAD,9,FNDR
40082407-0,ADQUISICION  GRUPOS ELECTROGENOS PARA SISTEMAS APR,REGION DE LA ARAUCANIA,,EJECUCION,55.591,2026,,,SEGURIDAD PUBLICA,UNIDAD,5,FNDR
40066830-0,REPOSICION CANCHA FÚTBOL PULIL COMUNA DE PADRE LAS CASAS,REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,808.342,2026,OT,24/6/2026,DEPORTES,METROS CUADRADOS,9467,FNDR
30441475-0,"CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL  JUAN COLIPE, TEMUCO.",REGION DE LA ARAUCANIA,TEMUCO,DISEÑO,200.062,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,67,FNDR
30441475-0,"CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL  JUAN COLIPE, TEMUCO.",REGION DE LA ARAUCANIA,TEMUCO,PREFACTIBILIDAD,105.013,2026,RS,27/3/2026,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,67,FNDR
30483464-0,"REPOSICION LICEO C -44 ALONSO DE ERCILLA Y ZUÃ¿IGA, ERCILLA",REGION DE LA ARAUCANIA,ERCILLA,DISEÑO,1.075.258,2026,FI,26/6/2026,EDUCACIÓN,METROS CUADRADOS,5847,FNDR
40082172-0,"CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL JUAN COLIPE, TEMUCO",REGION DE LA ARAUCANIA,TEMUCO,DISEÑO,200.061,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES NUEVOS,105,FNDR
40081021-0,"ADQUISICION VEHICULO ESPECIALIZADO UNIDAD DE EMERGENCIAS MUNICIPAL, PADRE LAS CASAS",REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,114.954,2026,,,SEGURIDAD PUBLICA,UNIDAD,1,FNDR
40079407-0,"CONSTRUCCION ELECTRIFICACION RURAL SECTOR ICALMA, CRUZACO Y OTROS, LONQUIMAY",REGION DE LA ARAUCANIA,LONQUIMAY,EJECUCION,721.438,2026,,,ENERGIA,NÚMERO DE EMPALMES,49,FNDR
40049166-0,"CONSTRUCCION CESFAM LONCOCHE, COMUNA DE LONCOCHE",REGION DE LA ARAUCANIA,,DISEÑO,255.735,2026,,,SALUD,METROS CUADRADOS,2376,FNDR
40082566-0,ADQUISICION DE GENERADORES PARA CONTINUIDAD DE SERVICIO DE APRS Y CAMIONETA DE P,REGION DE LA ARAUCANIA,CUNCO,EJECUCION,155.862,2026,,,SEGURIDAD PUBLICA,UNIDAD,4,FNDR
30105632-0,CONSTRUCCION BIBLIOTECA MUNICIPAL NUEVA IMPERIAL,REGION DE LA ARAUCANIA,NUEVA IMPERIAL,EJECUCION,124.932,2026,FI,20/7/2026,"EDUCACION, CULTURA Y PATRIMONIO",METROS CUADRADOS,2561,FNDR
40082605-0,"CONSTRUCCION CENTRO DE DIÁLISIS, COMUNA DE MELIPEUCO",REGION DE LA ARAUCANIA,MELIPEUCO,EJECUCION,345.000,2026,,,SALUD,METROS CUADRADOS,500,FNDR
30130586-0,"CONSTRUCCION SISTEMA AGUA POTABLE RURAL PICHIQUEPE, P. LAS CASAS",REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,4.237.521,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,356,FNDR
30036236-0,"INSTALACION SISTEMA AGUA POTABLE RURAL LEFUN, VILLARRICA",REGION DE LA ARAUCANIA,VILLARRICA,EJECUCION,5.160.661,2026,RS,16/3/2026,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,370,FNDR
40081024-0,ADQUISICION EQUIPOS TRATAMIENTO PATOLOGÍAS CUTÁNEAS SSAS,REGION DE LA ARAUCANIA,,EJECUCION,405.790,2026,,,SALUD,UNIDAD,7,FNDR
40071175-0,REPOSICION ACERAS CALLE A. PRAT ENTRE BLANCO ENCALADA Y SCHMIDT DE VILCÚN,REGION DE LA ARAUCANIA,VILCUN,EJECUCION,337.144,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,4872,FNDR
40080643-0,CONSTRUCCION Y REPOSICIÓN DE REFUGIOS PEATONALES CON ILUMINACIÓN SOLAR ZONA LAFK,REGION DE LA ARAUCANIA,CARAHUE,EJECUCION,150.000,2026,,,TRANSPORTE,UNIDAD,15,FNDR
40080706-0,"REPOSICION REFUGIOS PEATONALES, COMUNA DE VILCUN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,348.750,2026,,,TRANSPORTE,UNIDAD,37,FNDR
40082148-0,REPOSICION EQUIPO ENDOSCOPIA. TEMUCO,REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,363.224,2026,,,SALUD,UNIDAD,2500,FNDR
30470444-0,"REPOSICION ESTACIONES COMUNITARIAS DE SALUD RURAL, COLLIPULLI",REGION DE LA ARAUCANIA,COLLIPULLI,EJECUCION,730.470,2026,RS,9/1/2026,MULTISECTORIAL,METROS CUADRADOS,363,FNDR
50002297-0,"CONSTRUCCION SALA DE PROCESOS DE APICULTORES, LONCOCHE",REGION DE LA ARAUCANIA,LONCOCHE,EJECUCION,337.145,2026,,,TURISMO Y COMERCIO,METROS CUADRADOS,492,FNDR
40080125-0,"REPOSICION VEREDAS E INSTALACION DE LUMINARIAS AVDA. OHIGGINS, ENTRE MANUEL PLAZA Y LOS ROBLES, HUALPIN",REGION DE LA ARAUCANIA,TEODORO SCHMIDT,EJECUCION,153.884,2026,,,TRANSPORTE,METROS CUADRADOS,457,FNDR
40079862-0,"CONSTRUCCION Y REPOSICIÓN DE PARADEROS RURALES Y URBANOS, RUTA S-199, RUTA S-95-T, RUTA S-91, II FAJA, VILLARRICA",REGION DE LA ARAUCANIA,VILLARRICA,EJECUCION,280.673,2026,,,TRANSPORTE,UNIDAD,28,FNDR
40035771-0,"REPOSICION POSTA DE SALUD RURAL SECTOR BOCHOCO, NUEVA IMPERIAL",REGION DE LA ARAUCANIA,NUEVA IMPERIAL,DISEÑO,61.444,2026,,,SALUD,METROS CUADRADOS,359,FNDR
30103935-0,"CONSTRUCCION SISTEMA AGUA POTABLE MONOPAINE CHAPOD, PADRE LAS CASAS",REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,3.092.136,2026,RS,12/1/2026,RECURSOS HIDRICOS,NRO. DE ARRANQUES NUEVOS,289,FNDR
40071965-0,"MEJORAMIENTO CANCHA DE TENIS, VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,EJECUCION,346.415,2026,,,DEPORTES,METROS CUADRADOS,4528,FNDR
40080965-0,ADQUISICION DE VEHÃCULO PARA FORTALECER LA RESPUESTA ANTE SITUACIONES DE EMERGENCIA EN LA COMUNA DE VILCÃ¿N,REGION DE LA ARAUCANIA,VILCUN,EJECUCION,137.945,2026,,,SEGURIDAD PUBLICA,UNIDAD,1,FNDR
30249672-0,"REPOSICION ESCUELA MARTIN ALONQUEO, GENERAL LOPEZ, VILCUN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,14.840.559,2026,RS,22/1/2026,"EDUCACION, CULTURA Y PATRIMONIO",METROS CUADRADOS,4258,FNDR
40071970-0,"MEJORAMIENTO CANCHA DE BASQUETBOL, VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,EJECUCION,346.415,2026,,,DEPORTES,METROS CUADRADOS,2176,FNDR
40081629-0,ADQUISICION VEHÍCULO PARA RESPONDER ANTE SITUACIONES DE EMERGENCIA EN LA COMUNA DE FREIRE,REGION DE LA ARAUCANIA,FREIRE,EJECUCION,137.945,2026,,,SEGURIDAD PUBLICA,UNIDAD,1,FNDR
40080875-0,"MEJORAMIENTO CANCHA VILLA PARAÍSO, COMUNA DE SAAVEDRA",REGION DE LA ARAUCANIA,SAAVEDRA,EJECUCION,16.475,2026,,,DEPORTES,METROS CUADRADOS,543,FNDR
40078783-0,"CONSTRUCCION CIERRE PERIMETRAL CANCHA Y SEDE E INSTALACIÓN ILUMINACIÓN, SAN PATRICIO, VILCÚN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,46.490,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS,449,FNDR
40082332-0,"CONSTRUCCION LICEO LAUTARO, SELLO BILINGUE",REGION DE LA ARAUCANIA,LAUTARO,DISEÑO,421.800,2027,,,EDUCACIÓN,UNIDAD,1,FNDR
40057402-0,"CONSTRUCCION ELECTRIFICACION RURAL SECTOR TOLHUACA, MIRADOR Y OTROS, VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,EJECUCION,190.421,2026,RS,9/1/2026,ENERGIA,NÚMERO DE EMPALMES,65,FNDR
40082097-0,ADQUISICION adquisicion de VEHICULO PARA TRASLADO DE PACIENTES de dialisis comuna de CURARREHUE,REGION DE LA ARAUCANIA,,EJECUCION,65.000,2026,,,SALUD,UNIDAD,1,FNDR
40050156-0,"CONSTRUCCION POZO DE AGUA POTABLE MUNICIPAL, COMUNA DE PERQUENCO",REGION DE LA ARAUCANIA,PERQUENCO,EJECUCION,64.000,2026,,,RECURSOS HIDRICOS,LITROS / SEGUNDO,2,FNDR
30038126-0,"INSTALACION SISTEMA AGUA POTABLE RURAL CAIVICO, VILCUN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,2.918.980,2026,RS,31/3/2026,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,139,FNDR
40082420-0,HABILITACION TRAMOS AFECTADOS POR CONDICIONES METEOROLÓGICAS EN CAMINOS RURALES.,REGION DE LA ARAUCANIA,CURARREHUE,EJECUCION,437.000,2026,,,MULTISECTORIAL,HABITANTE BENEFICIADO,4789,FNDR
40082344-0,"ADQUISICION  CAMIONETA 4X4 Y GRUPOS ELECTROGENOS PARA EMERGENCIAS, COMUNA DE SAAVEDRA",REGION DE LA ARAUCANIA,SAAVEDRA,EJECUCION,169.236,2026,,,SEGURIDAD PUBLICA,UNIDAD,6,FNDR
40063456-0,"CONSTRUCCION CENTRO COMUNITARIO HUAQUI, LONCOCHE",REGION DE LA ARAUCANIA,LONCOCHE,EJECUCION,182.904,2026,,,MULTISECTORIAL,METROS CUADRADOS,131,FNDR
